"","Date","Line Item","Value","FY","FM","Quarter","Month","Group"
"2807",2017-11-01,"Supplies",21086.96,"2018","8","3","Nov","FY16 Q2"
"2808",2017-12-01,"Supplies",18414.1,"2018","9","3","Dec","FY16 Q2"
"2809",2018-01-01,"Supplies",17924.83,"2018","10","4","Jan","FY16 Q2"
"2810",2018-02-01,"Supplies",13016.3,"2018","11","4","Feb","FY16 Q2"
"2811",2018-03-01,"Supplies",18008.7,"2018","12","4","Mar","FY16 Q2"
"2812",2018-04-01,"Supplies",13067.53,"2019","1","1","Apr","FY16 Q2"
"2813",2018-05-01,"Supplies",11165.6,"2019","2","1","May","FY16 Q2"
"2814",2018-06-01,"Supplies",13092.91,"2019","3","1","Jun","FY16 Q2"
"2815",2015-01-01,"Lease_Exp",6211,"2015","10","4","Jan","FY16 Q2"
"2816",2015-02-01,"Lease_Exp",6211,"2015","11","4","Feb","FY16 Q2"
"2817",2015-03-01,"Lease_Exp",6211,"2015","12","4","Mar","FY16 Q2"
"2818",2015-04-01,"Lease_Exp",12611,"2016","1","1","Apr","FY16 Q2"
"2819",2015-05-01,"Lease_Exp",9529,"2016","2","1","May","FY16 Q2"
"2820",2015-06-01,"Lease_Exp",3318,"2016","3","1","Jun","FY16 Q2"
"2821",2015-07-01,"Lease_Exp",15423,"2016","4","2","Jul","FY16 Q2"
"2822",2015-08-01,"Lease_Exp",7500,"2016","5","2","Aug","FY16 Q2"
"2823",2015-09-01,"Lease_Exp",3000,"2016","6","2","Sep","FY16 Q2"
"2824",2015-10-01,"Lease_Exp",-3000,"2016","7","3","Oct","FY16 Q2"
"2825",2015-11-01,"Lease_Exp",0,"2016","8","3","Nov","FY16 Q2"
"2826",2015-12-01,"Lease_Exp",0,"2016","9","3","Dec","FY16 Q2"
"2827",2016-01-01,"Lease_Exp",0,"2016","10","4","Jan","FY16 Q2"
"2828",2016-02-01,"Lease_Exp",0,"2016","11","4","Feb","FY16 Q2"
"2829",2016-03-01,"Lease_Exp",0,"2016","12","4","Mar","FY16 Q2"
"2830",2016-04-01,"Lease_Exp",0,"2017","1","1","Apr","FY16 Q2"
"2831",2016-05-01,"Lease_Exp",0,"2017","2","1","May","FY16 Q2"
"2832",2016-06-01,"Lease_Exp",0,"2017","3","1","Jun","FY16 Q2"
"2833",2016-07-01,"Lease_Exp",0,"2017","4","2","Jul","FY16 Q2"
"2834",2016-08-01,"Lease_Exp",0,"2017","5","2","Aug","FY16 Q2"
"2835",2016-09-01,"Lease_Exp",0,"2017","6","2","Sep","FY16 Q2"
"2836",2016-10-01,"Lease_Exp",0,"2017","7","3","Oct","FY16 Q2"
"2837",2016-11-01,"Lease_Exp",0,"2017","8","3","Nov","FY16 Q2"
"2838",2016-12-01,"Lease_Exp",0,"2017","9","3","Dec","FY16 Q2"
"2839",2017-01-01,"Lease_Exp",0,"2017","10","4","Jan","FY16 Q2"
"2840",2017-02-01,"Lease_Exp",0,"2017","11","4","Feb","FY16 Q2"
"2841",2017-03-01,"Lease_Exp",0,"2017","12","4","Mar","FY16 Q2"
"2842",2017-04-01,"Lease_Exp",0,"2018","1","1","Apr","FY16 Q2"
"2843",2017-05-01,"Lease_Exp",0,"2018","2","1","May","FY16 Q2"
"2844",2017-06-01,"Lease_Exp",0,"2018","3","1","Jun","FY16 Q2"
"2845",2017-07-01,"Lease_Exp",0,"2018","4","2","Jul","FY16 Q2"
"2846",2017-08-01,"Lease_Exp",0,"2018","5","2","Aug","FY16 Q2"
"2847",2017-09-01,"Lease_Exp",0,"2018","6","2","Sep","FY16 Q2"
"2848",2017-10-01,"Lease_Exp",0,"2018","7","3","Oct","FY16 Q2"
"2849",2017-11-01,"Lease_Exp",0,"2018","8","3","Nov","FY16 Q2"
"2850",2017-12-01,"Lease_Exp",0,"2018","9","3","Dec","FY16 Q2"
"2851",2018-01-01,"Lease_Exp",0,"2018","10","4","Jan","FY16 Q2"
"2852",2018-02-01,"Lease_Exp",0,"2018","11","4","Feb","FY16 Q2"
"2853",2018-03-01,"Lease_Exp",0,"2018","12","4","Mar","FY16 Q2"
"2854",2018-04-01,"Lease_Exp",0,"2019","1","1","Apr","FY16 Q2"
"2855",2018-05-01,"Lease_Exp",0,"2019","2","1","May","FY16 Q2"
"2856",2018-06-01,"Lease_Exp",0,"2019","3","1","Jun","FY16 Q2"
"2857",2015-01-01,"Liab_Insurance",0,"2015","10","4","Jan","FY16 Q2"
"2858",2015-02-01,"Liab_Insurance",0,"2015","11","4","Feb","FY16 Q2"
"2859",2015-03-01,"Liab_Insurance",0,"2015","12","4","Mar","FY16 Q2"
"2860",2015-04-01,"Liab_Insurance",0,"2016","1","1","Apr","FY16 Q2"
"2861",2015-05-01,"Liab_Insurance",1372.49,"2016","2","1","May","FY16 Q2"
"2862",2015-06-01,"Liab_Insurance",1737.79,"2016","3","1","Jun","FY16 Q2"
"2863",2015-07-01,"Liab_Insurance",3123.88,"2016","4","2","Jul","FY16 Q2"
"2864",2015-08-01,"Liab_Insurance",5771.4,"2016","5","2","Aug","FY16 Q2"
"2865",2015-09-01,"Liab_Insurance",6492.82,"2016","6","2","Sep","FY16 Q2"
"2866",2015-10-01,"Liab_Insurance",6988.47,"2016","7","3","Oct","FY16 Q2"
"2867",2015-11-01,"Liab_Insurance",8253.22,"2016","8","3","Nov","FY16 Q2"
"2868",2015-12-01,"Liab_Insurance",8417.8,"2016","9","3","Dec","FY16 Q2"
"2869",2016-01-01,"Liab_Insurance",7569.68,"2016","10","4","Jan","FY16 Q2"
"2870",2016-02-01,"Liab_Insurance",7616.7,"2016","11","4","Feb","FY16 Q2"
"2871",2016-03-01,"Liab_Insurance",10255.09,"2016","12","4","Mar","FY16 Q2"
"2872",2016-04-01,"Liab_Insurance",10289.24,"2017","1","1","Apr","FY16 Q2"
"2873",2016-05-01,"Liab_Insurance",16081.44,"2017","2","1","May","FY16 Q2"
"2874",2016-06-01,"Liab_Insurance",18400.15,"2017","3","1","Jun","FY16 Q2"
"2875",2016-07-01,"Liab_Insurance",18765.65,"2017","4","2","Jul","FY16 Q2"
"2876",2016-08-01,"Liab_Insurance",24849.84,"2017","5","2","Aug","FY16 Q2"
"2877",2016-09-01,"Liab_Insurance",15712.47,"2017","6","2","Sep","FY16 Q2"
"2878",2016-10-01,"Liab_Insurance",14332.98,"2017","7","3","Oct","FY16 Q2"
"2879",2016-11-01,"Liab_Insurance",14740.15,"2017","8","3","Nov","FY16 Q2"
"2880",2016-12-01,"Liab_Insurance",13911.18,"2017","9","3","Dec","FY16 Q2"
"2881",2017-01-01,"Liab_Insurance",12673.24,"2017","10","4","Jan","FY16 Q2"
"2882",2017-02-01,"Liab_Insurance",13635.13,"2017","11","4","Feb","FY16 Q2"
"2883",2017-03-01,"Liab_Insurance",17539.83,"2017","12","4","Mar","FY16 Q2"
"2884",2017-04-01,"Liab_Insurance",21877.14,"2018","1","1","Apr","FY16 Q2"
"2885",2017-05-01,"Liab_Insurance",17729.99,"2018","2","1","May","FY16 Q2"
"2886",2017-06-01,"Liab_Insurance",21484.47,"2018","3","1","Jun","FY16 Q2"
"2887",2017-07-01,"Liab_Insurance",18523.37,"2018","4","2","Jul","FY16 Q2"
"2888",2017-08-01,"Liab_Insurance",24122.43,"2018","5","2","Aug","FY16 Q2"
"2889",2017-09-01,"Liab_Insurance",17116.99,"2018","6","2","Sep","FY16 Q2"
"2890",2017-10-01,"Liab_Insurance",17280.98,"2018","7","3","Oct","FY16 Q2"
"2891",2017-11-01,"Liab_Insurance",12409.12,"2018","8","3","Nov","FY16 Q2"
"2892",2017-12-01,"Liab_Insurance",13914.88,"2018","9","3","Dec","FY16 Q2"
"2893",2018-01-01,"Liab_Insurance",13295.52,"2018","10","4","Jan","FY16 Q2"
"2894",2018-02-01,"Liab_Insurance",13733.29,"2018","11","4","Feb","FY16 Q2"
"2895",2018-03-01,"Liab_Insurance",13941.09,"2018","12","4","Mar","FY16 Q2"
"2896",2018-04-01,"Liab_Insurance",18318.4,"2019","1","1","Apr","FY16 Q2"
"2897",2018-05-01,"Liab_Insurance",21760.88,"2019","2","1","May","FY16 Q2"
"2898",2018-06-01,"Liab_Insurance",25462.42,"2019","3","1","Jun","FY16 Q2"
"2899",2015-01-01,"Property_Tax",0,"2015","10","4","Jan","FY16 Q2"
"2900",2015-02-01,"Property_Tax",0,"2015","11","4","Feb","FY16 Q2"
"2901",2015-03-01,"Property_Tax",0,"2015","12","4","Mar","FY16 Q2"
"2902",2015-04-01,"Property_Tax",0,"2016","1","1","Apr","FY16 Q2"
"2903",2015-05-01,"Property_Tax",0,"2016","2","1","May","FY16 Q2"
"2904",2015-06-01,"Property_Tax",0,"2016","3","1","Jun","FY16 Q2"
"2905",2015-07-01,"Property_Tax",6646,"2016","4","2","Jul","FY16 Q2"
"2906",2015-08-01,"Property_Tax",47908.46,"2016","5","2","Aug","FY16 Q2"
"2907",2015-09-01,"Property_Tax",80286,"2016","6","2","Sep","FY16 Q2"
"2908",2015-10-01,"Property_Tax",76970,"2016","7","3","Oct","FY16 Q2"
"2909",2015-11-01,"Property_Tax",71292,"2016","8","3","Nov","FY16 Q2"
"2910",2015-12-01,"Property_Tax",77130.2,"2016","9","3","Dec","FY16 Q2"
"2911",2016-01-01,"Property_Tax",75354,"2016","10","4","Jan","FY16 Q2"
"2912",2016-02-01,"Property_Tax",75363,"2016","11","4","Feb","FY16 Q2"
"2913",2016-03-01,"Property_Tax",193893.91,"2016","12","4","Mar","FY16 Q2"
"2914",2016-04-01,"Property_Tax",89675,"2017","1","1","Apr","FY16 Q2"
"2915",2016-05-01,"Property_Tax",113530.57,"2017","2","1","May","FY16 Q2"
"2916",2016-06-01,"Property_Tax",114537.25,"2017","3","1","Jun","FY16 Q2"
"2917",2016-07-01,"Property_Tax",119778.34,"2017","4","2","Jul","FY16 Q2"
"2918",2016-08-01,"Property_Tax",122282.96,"2017","5","2","Aug","FY16 Q2"
"2919",2016-09-01,"Property_Tax",123460.99,"2017","6","2","Sep","FY16 Q2"
"2920",2016-10-01,"Property_Tax",131152.31,"2017","7","3","Oct","FY16 Q2"
"2921",2016-11-01,"Property_Tax",125634.29,"2017","8","3","Nov","FY16 Q2"
"2922",2016-12-01,"Property_Tax",125688.29,"2017","9","3","Dec","FY16 Q2"
"2923",2017-01-01,"Property_Tax",126068.06,"2017","10","4","Jan","FY16 Q2"
"2924",2017-02-01,"Property_Tax",126053.93,"2017","11","4","Feb","FY16 Q2"
"2925",2017-03-01,"Property_Tax",270463.55,"2017","12","4","Mar","FY16 Q2"
"2926",2017-04-01,"Property_Tax",126219.98,"2018","1","1","Apr","FY16 Q2"
"2927",2017-05-01,"Property_Tax",130361.85,"2018","2","1","May","FY16 Q2"
"2928",2017-06-01,"Property_Tax",129757,"2018","3","1","Jun","FY16 Q2"
"2929",2017-07-01,"Property_Tax",131761.78,"2018","4","2","Jul","FY16 Q2"
"2930",2017-08-01,"Property_Tax",138340.05,"2018","5","2","Aug","FY16 Q2"
"2931",2017-09-01,"Property_Tax",138320.56,"2018","6","2","Sep","FY16 Q2"
"2932",2017-10-01,"Property_Tax",138545.93,"2018","7","3","Oct","FY16 Q2"
"2933",2017-11-01,"Property_Tax",140459.93,"2018","8","3","Nov","FY16 Q2"
"2934",2017-12-01,"Property_Tax",143384.5,"2018","9","3","Dec","FY16 Q2"
"2935",2018-01-01,"Property_Tax",143773.95,"2018","10","4","Jan","FY16 Q2"
"2936",2018-02-01,"Property_Tax",145325.55,"2018","11","4","Feb","FY16 Q2"
"2937",2018-03-01,"Property_Tax",422189.97,"2018","12","4","Mar","FY16 Q2"
"2938",2018-04-01,"Property_Tax",145364.4,"2019","1","1","Apr","FY16 Q2"
"2939",2018-05-01,"Property_Tax",132393.73,"2019","2","1","May","FY16 Q2"
"2940",2018-06-01,"Property_Tax",148670.68,"2019","3","1","Jun","FY16 Q2"
"2941",2015-01-01,"Bad_Debt_Exp",0,"2015","10","4","Jan","FY16 Q2"
"2942",2015-02-01,"Bad_Debt_Exp",0,"2015","11","4","Feb","FY16 Q2"
"2943",2015-03-01,"Bad_Debt_Exp",0,"2015","12","4","Mar","FY16 Q2"
"2944",2015-04-01,"Bad_Debt_Exp",0,"2016","1","1","Apr","FY16 Q2"
"2945",2015-05-01,"Bad_Debt_Exp",0,"2016","2","1","May","FY16 Q2"
"2946",2015-06-01,"Bad_Debt_Exp",0,"2016","3","1","Jun","FY16 Q2"
"2947",2015-07-01,"Bad_Debt_Exp",0,"2016","4","2","Jul","FY16 Q2"
"2948",2015-08-01,"Bad_Debt_Exp",0,"2016","5","2","Aug","FY16 Q2"
"2949",2015-09-01,"Bad_Debt_Exp",0,"2016","6","2","Sep","FY16 Q2"
"2950",2015-10-01,"Bad_Debt_Exp",0,"2016","7","3","Oct","FY16 Q2"
"2951",2015-11-01,"Bad_Debt_Exp",0,"2016","8","3","Nov","FY16 Q2"
"2952",2015-12-01,"Bad_Debt_Exp",0,"2016","9","3","Dec","FY16 Q2"
"2953",2016-01-01,"Bad_Debt_Exp",0,"2016","10","4","Jan","FY16 Q2"
"2954",2016-02-01,"Bad_Debt_Exp",0,"2016","11","4","Feb","FY16 Q2"
"2955",2016-03-01,"Bad_Debt_Exp",0,"2016","12","4","Mar","FY16 Q2"
"2956",2016-04-01,"Bad_Debt_Exp",0,"2017","1","1","Apr","FY16 Q2"
"2957",2016-05-01,"Bad_Debt_Exp",0,"2017","2","1","May","FY16 Q2"
"2958",2016-06-01,"Bad_Debt_Exp",0,"2017","3","1","Jun","FY16 Q2"
"2959",2016-07-01,"Bad_Debt_Exp",0,"2017","4","2","Jul","FY16 Q2"
"2960",2016-08-01,"Bad_Debt_Exp",0,"2017","5","2","Aug","FY16 Q2"
"2961",2016-09-01,"Bad_Debt_Exp",0,"2017","6","2","Sep","FY16 Q2"
"2962",2016-10-01,"Bad_Debt_Exp",0,"2017","7","3","Oct","FY16 Q2"
"2963",2016-11-01,"Bad_Debt_Exp",0,"2017","8","3","Nov","FY16 Q2"
"2964",2016-12-01,"Bad_Debt_Exp",0,"2017","9","3","Dec","FY16 Q2"
"2965",2017-01-01,"Bad_Debt_Exp",0,"2017","10","4","Jan","FY16 Q2"
"2966",2017-02-01,"Bad_Debt_Exp",0,"2017","11","4","Feb","FY16 Q2"
"2967",2017-03-01,"Bad_Debt_Exp",0,"2017","12","4","Mar","FY16 Q2"
"2968",2017-04-01,"Bad_Debt_Exp",0,"2018","1","1","Apr","FY16 Q2"
"2969",2017-05-01,"Bad_Debt_Exp",0,"2018","2","1","May","FY16 Q2"
"2970",2017-06-01,"Bad_Debt_Exp",0,"2018","3","1","Jun","FY16 Q2"
"2971",2017-07-01,"Bad_Debt_Exp",0,"2018","4","2","Jul","FY16 Q2"
"2972",2017-08-01,"Bad_Debt_Exp",0,"2018","5","2","Aug","FY16 Q2"
"2973",2017-09-01,"Bad_Debt_Exp",0,"2018","6","2","Sep","FY16 Q2"
"2974",2017-10-01,"Bad_Debt_Exp",0,"2018","7","3","Oct","FY16 Q2"
"2975",2017-11-01,"Bad_Debt_Exp",0,"2018","8","3","Nov","FY16 Q2"
"2976",2017-12-01,"Bad_Debt_Exp",0,"2018","9","3","Dec","FY16 Q2"
"2977",2018-01-01,"Bad_Debt_Exp",0,"2018","10","4","Jan","FY16 Q2"
"2978",2018-02-01,"Bad_Debt_Exp",0,"2018","11","4","Feb","FY16 Q2"
"2979",2018-03-01,"Bad_Debt_Exp",0,"2018","12","4","Mar","FY16 Q2"
"2980",2018-04-01,"Bad_Debt_Exp",0,"2019","1","1","Apr","FY16 Q2"
"2981",2018-05-01,"Bad_Debt_Exp",0,"2019","2","1","May","FY16 Q2"
"2982",2018-06-01,"Bad_Debt_Exp",0,"2019","3","1","Jun","FY16 Q2"
"2983",2015-01-01,"Other_Op_Exp",0,"2015","10","4","Jan","FY16 Q2"
"2984",2015-02-01,"Other_Op_Exp",173.66,"2015","11","4","Feb","FY16 Q2"
"2985",2015-03-01,"Other_Op_Exp",82.66,"2015","12","4","Mar","FY16 Q2"
"2986",2015-04-01,"Other_Op_Exp",430.74,"2016","1","1","Apr","FY16 Q2"
"2987",2015-05-01,"Other_Op_Exp",1552.98,"2016","2","1","May","FY16 Q2"
"2988",2015-06-01,"Other_Op_Exp",568.6,"2016","3","1","Jun","FY16 Q2"
"2989",2015-07-01,"Other_Op_Exp",13155.24,"2016","4","2","Jul","FY16 Q2"
"2990",2015-08-01,"Other_Op_Exp",19641.65,"2016","5","2","Aug","FY16 Q2"
"2991",2015-09-01,"Other_Op_Exp",18940.83,"2016","6","2","Sep","FY16 Q2"
"2992",2015-10-01,"Other_Op_Exp",20877.98,"2016","7","3","Oct","FY16 Q2"
"2993",2015-11-01,"Other_Op_Exp",11996.8,"2016","8","3","Nov","FY16 Q2"
"2994",2015-12-01,"Other_Op_Exp",14342.06,"2016","9","3","Dec","FY16 Q2"
"2995",2016-01-01,"Other_Op_Exp",10665.39,"2016","10","4","Jan","FY16 Q2"
"2996",2016-02-01,"Other_Op_Exp",9731.69,"2016","11","4","Feb","FY16 Q2"
"2997",2016-03-01,"Other_Op_Exp",18219.06,"2016","12","4","Mar","FY16 Q2"
"2998",2016-04-01,"Other_Op_Exp",18540.29,"2017","1","1","Apr","FY16 Q2"
"2999",2016-05-01,"Other_Op_Exp",17338.3,"2017","2","1","May","FY16 Q2"
"3000",2016-06-01,"Other_Op_Exp",12861.67,"2017","3","1","Jun","FY16 Q2"
"3001",2016-07-01,"Other_Op_Exp",23695.3,"2017","4","2","Jul","FY16 Q2"
"3002",2016-08-01,"Other_Op_Exp",24890.9,"2017","5","2","Aug","FY16 Q2"
"3003",2016-09-01,"Other_Op_Exp",15723.87,"2017","6","2","Sep","FY16 Q2"
"3004",2016-10-01,"Other_Op_Exp",28794.19,"2017","7","3","Oct","FY16 Q2"
"3005",2016-11-01,"Other_Op_Exp",16971.44,"2017","8","3","Nov","FY16 Q2"
"3006",2016-12-01,"Other_Op_Exp",27081.75,"2017","9","3","Dec","FY16 Q2"
"3007",2017-01-01,"Other_Op_Exp",18637.28,"2017","10","4","Jan","FY16 Q2"
"3008",2017-02-01,"Other_Op_Exp",29420.03,"2017","11","4","Feb","FY16 Q2"
"3009",2017-03-01,"Other_Op_Exp",50608.94,"2017","12","4","Mar","FY16 Q2"
"3010",2017-04-01,"Other_Op_Exp",21439.2,"2018","1","1","Apr","FY16 Q2"
"3011",2017-05-01,"Other_Op_Exp",50637.2,"2018","2","1","May","FY16 Q2"
"3012",2017-06-01,"Other_Op_Exp",21200.43,"2018","3","1","Jun","FY16 Q2"
"3013",2017-07-01,"Other_Op_Exp",24840.75,"2018","4","2","Jul","FY16 Q2"
"3014",2017-08-01,"Other_Op_Exp",22176.57,"2018","5","2","Aug","FY16 Q2"
"3015",2017-09-01,"Other_Op_Exp",31558.12,"2018","6","2","Sep","FY16 Q2"
"3016",2017-10-01,"Other_Op_Exp",131086.99,"2018","7","3","Oct","FY16 Q2"
"3017",2017-11-01,"Other_Op_Exp",23206.84,"2018","8","3","Nov","FY16 Q2"
"3018",2017-12-01,"Other_Op_Exp",26266.11,"2018","9","3","Dec","FY16 Q2"
"3019",2018-01-01,"Other_Op_Exp",21892.94,"2018","10","4","Jan","FY16 Q2"
"3020",2018-02-01,"Other_Op_Exp",17864.79,"2018","11","4","Feb","FY16 Q2"
"3021",2018-03-01,"Other_Op_Exp",24691.33,"2018","12","4","Mar","FY16 Q2"
"3022",2018-04-01,"Other_Op_Exp",41507.76,"2019","1","1","Apr","FY16 Q2"
"3023",2018-05-01,"Other_Op_Exp",46624.48,"2019","2","1","May","FY16 Q2"
"3024",2018-06-01,"Other_Op_Exp",35116.38,"2019","3","1","Jun","FY16 Q2"
"3025",2015-01-01,"Adj_Sales",0,"2015","10","4","Jan","FY16 Q2"
"3026",2015-02-01,"Adj_Sales",0,"2015","11","4","Feb","FY16 Q2"
"3027",2015-03-01,"Adj_Sales",0,"2015","12","4","Mar","FY16 Q2"
"3028",2015-04-01,"Adj_Sales",1018.83,"2016","1","1","Apr","FY16 Q2"
"3029",2015-05-01,"Adj_Sales",5279.18,"2016","2","1","May","FY16 Q2"
"3030",2015-06-01,"Adj_Sales",5829.8,"2016","3","1","Jun","FY16 Q2"
"3031",2015-07-01,"Adj_Sales",6337.95,"2016","4","2","Jul","FY16 Q2"
"3032",2015-08-01,"Adj_Sales",9820.42,"2016","5","2","Aug","FY16 Q2"
"3033",2015-09-01,"Adj_Sales",13100.3,"2016","6","2","Sep","FY16 Q2"
"3034",2015-10-01,"Adj_Sales",14837.46,"2016","7","3","Oct","FY16 Q2"
"3035",2015-11-01,"Adj_Sales",13826.39,"2016","8","3","Nov","FY16 Q2"
"3036",2015-12-01,"Adj_Sales",19284.21,"2016","9","3","Dec","FY16 Q2"
"3037",2016-01-01,"Adj_Sales",19037.26,"2016","10","4","Jan","FY16 Q2"
"3038",2016-02-01,"Adj_Sales",27022.25,"2016","11","4","Feb","FY16 Q2"
"3039",2016-03-01,"Adj_Sales",33325.6,"2016","12","4","Mar","FY16 Q2"
"3040",2016-04-01,"Adj_Sales",39568.37,"2017","1","1","Apr","FY16 Q2"
"3041",2016-05-01,"Adj_Sales",59976.66,"2017","2","1","May","FY16 Q2"
"3042",2016-06-01,"Adj_Sales",60855.29,"2017","3","1","Jun","FY16 Q2"
"3043",2016-07-01,"Adj_Sales",65867.09,"2017","4","2","Jul","FY16 Q2"
"3044",2016-08-01,"Adj_Sales",48510.34,"2017","5","2","Aug","FY16 Q2"
"3045",2016-09-01,"Adj_Sales",48708.22,"2017","6","2","Sep","FY16 Q2"
"3046",2016-10-01,"Adj_Sales",53653.7,"2017","7","3","Oct","FY16 Q2"
"3047",2016-11-01,"Adj_Sales",44379.36,"2017","8","3","Nov","FY16 Q2"
"3048",2016-12-01,"Adj_Sales",48177.66,"2017","9","3","Dec","FY16 Q2"
"3049",2017-01-01,"Adj_Sales",44979.26,"2017","10","4","Jan","FY16 Q2"
"3050",2017-02-01,"Adj_Sales",51115.19,"2017","11","4","Feb","FY16 Q2"
"3051",2017-03-01,"Adj_Sales",69482.63,"2017","12","4","Mar","FY16 Q2"
"3052",2017-04-01,"Adj_Sales",79417.01,"2018","1","1","Apr","FY16 Q2"
"3053",2017-05-01,"Adj_Sales",103571,"2018","2","1","May","FY16 Q2"
"3054",2017-06-01,"Adj_Sales",115037.34,"2018","3","1","Jun","FY16 Q2"
"3055",2017-07-01,"Adj_Sales",109112.02,"2018","4","2","Jul","FY16 Q2"
"3056",2017-08-01,"Adj_Sales",104317.58,"2018","5","2","Aug","FY16 Q2"
"3057",2017-09-01,"Adj_Sales",88725.8,"2018","6","2","Sep","FY16 Q2"
"3058",2017-10-01,"Adj_Sales",83141.93,"2018","7","3","Oct","FY16 Q2"
"3059",2017-11-01,"Adj_Sales",68650.55,"2018","8","3","Nov","FY16 Q2"
"3060",2017-12-01,"Adj_Sales",68126.8,"2018","9","3","Dec","FY16 Q2"
"3061",2018-01-01,"Adj_Sales",75519.3,"2018","10","4","Jan","FY16 Q2"
"3062",2018-02-01,"Adj_Sales",80122.42,"2018","11","4","Feb","FY16 Q2"
"3063",2018-03-01,"Adj_Sales",110404.57,"2018","12","4","Mar","FY16 Q2"
"3064",2018-04-01,"Adj_Sales",118521.41,"2019","1","1","Apr","FY16 Q2"
"3065",2018-05-01,"Adj_Sales",161408.91,"2019","2","1","May","FY16 Q2"
"3066",2018-06-01,"Adj_Sales",184753.11,"2019","3","1","Jun","FY16 Q2"
"3067",2015-01-01,"Adj_COS",0,"2015","10","4","Jan","FY16 Q2"
"3068",2015-02-01,"Adj_COS",0,"2015","11","4","Feb","FY16 Q2"
"3069",2015-03-01,"Adj_COS",0,"2015","12","4","Mar","FY16 Q2"
"3070",2015-04-01,"Adj_COS",653.38,"2016","1","1","Apr","FY16 Q2"
"3071",2015-05-01,"Adj_COS",3083.23,"2016","2","1","May","FY16 Q2"
"3072",2015-06-01,"Adj_COS",3002.05,"2016","3","1","Jun","FY16 Q2"
"3073",2015-07-01,"Adj_COS",4441.13,"2016","4","2","Jul","FY16 Q2"
"3074",2015-08-01,"Adj_COS",9403.42,"2016","5","2","Aug","FY16 Q2"
"3075",2015-09-01,"Adj_COS",9090.53,"2016","6","2","Sep","FY16 Q2"
"3076",2015-10-01,"Adj_COS",11459.13,"2016","7","3","Oct","FY16 Q2"
"3077",2015-11-01,"Adj_COS",10246.22,"2016","8","3","Nov","FY16 Q2"
"3078",2015-12-01,"Adj_COS",13447.61,"2016","9","3","Dec","FY16 Q2"
"3079",2016-01-01,"Adj_COS",13829.51,"2016","10","4","Jan","FY16 Q2"
"3080",2016-02-01,"Adj_COS",18948.65,"2016","11","4","Feb","FY16 Q2"
"3081",2016-03-01,"Adj_COS",1864.6,"2016","12","4","Mar","FY16 Q2"
"3082",2016-04-01,"Adj_COS",26154.6,"2017","1","1","Apr","FY16 Q2"
"3083",2016-05-01,"Adj_COS",37184.01,"2017","2","1","May","FY16 Q2"
"3084",2016-06-01,"Adj_COS",35963.42,"2017","3","1","Jun","FY16 Q2"
"3085",2016-07-01,"Adj_COS",41103.53,"2017","4","2","Jul","FY16 Q2"
"3086",2016-08-01,"Adj_COS",33376.13,"2017","5","2","Aug","FY16 Q2"
"3087",2016-09-01,"Adj_COS",34649.06,"2017","6","2","Sep","FY16 Q2"
"3088",2016-10-01,"Adj_COS",41744.96,"2017","7","3","Oct","FY16 Q2"
"3089",2016-11-01,"Adj_COS",32851.48,"2017","8","3","Nov","FY16 Q2"
"3090",2016-12-01,"Adj_COS",32488.25,"2017","9","3","Dec","FY16 Q2"
"3091",2017-01-01,"Adj_COS",39788.27,"2017","10","4","Jan","FY16 Q2"
"3092",2017-02-01,"Adj_COS",41950.7,"2017","11","4","Feb","FY16 Q2"
"3093",2017-03-01,"Adj_COS",37423.89,"2017","12","4","Mar","FY16 Q2"
"3094",2017-04-01,"Adj_COS",60273.36,"2018","1","1","Apr","FY16 Q2"
"3095",2017-05-01,"Adj_COS",70461.18,"2018","2","1","May","FY16 Q2"
"3096",2017-06-01,"Adj_COS",73423.15,"2018","3","1","Jun","FY16 Q2"
"3097",2017-07-01,"Adj_COS",70056.33,"2018","4","2","Jul","FY16 Q2"
"3098",2017-08-01,"Adj_COS",69248.04,"2018","5","2","Aug","FY16 Q2"
"3099",2017-09-01,"Adj_COS",64010.2,"2018","6","2","Sep","FY16 Q2"
"3100",2017-10-01,"Adj_COS",64948.92,"2018","7","3","Oct","FY16 Q2"
"3101",2017-11-01,"Adj_COS",55417.23,"2018","8","3","Nov","FY16 Q2"
"3102",2017-12-01,"Adj_COS",50095.25,"2018","9","3","Dec","FY16 Q2"
"3103",2018-01-01,"Adj_COS",58016.57,"2018","10","4","Jan","FY16 Q2"
"3104",2018-02-01,"Adj_COS",57092.55,"2018","11","4","Feb","FY16 Q2"
"3105",2018-03-01,"Adj_COS",43045.59,"2018","12","4","Mar","FY16 Q2"
"3106",2018-04-01,"Adj_COS",79271.63,"2019","1","1","Apr","FY16 Q2"
"3107",2018-05-01,"Adj_COS",99474.95,"2019","2","1","May","FY16 Q2"
"3108",2018-06-01,"Adj_COS",116945.72,"2019","3","1","Jun","FY16 Q2"
"3109",2015-01-01,"Adj_NetSales",0,"2015","10","4","Jan","FY16 Q2"
"3110",2015-02-01,"Adj_NetSales",0,"2015","11","4","Feb","FY16 Q2"
"3111",2015-03-01,"Adj_NetSales",0,"2015","12","4","Mar","FY16 Q2"
"3112",2015-04-01,"Adj_NetSales",365.45,"2016","1","1","Apr","FY16 Q2"
"3113",2015-05-01,"Adj_NetSales",2195.95,"2016","2","1","May","FY16 Q2"
